comment_text,content_id,형태소,형태소기반_감정,맥락기반_감정
,61,[],중립,중립
내가 아주 그냥 다이소때문에 거덜나것따. 이제 약까지....집이 다이소가 되어가고있단다😂😂😂😂,62,"['다이소', '때문', '거덜', '다이소']",중립,중립
눈 에도 여려가지로 좋아지나요,62,"['여리', '가지']",중립,중립
,64,[],중립,중립
AI도 약사냐,65,['약사'],중립,중립
어디 다이소에서 영양제 파나요.,65,"['어디', '다이소', '영양제']",중립,중립
왜 전부 대웅제약이에요?,65,['대웅제약'],중립,중립
올리브오일+레몬 알약액상형으로 나왔습니다😊,66,"['올리브', '오일', '레몬', '알약', '액상', '나오']",중립,중립
콜린 미오이노시톨은 어떤가요?,66,"['콜린', '미오이노시', '어떻']",중립,중립
갈슘도해주세요,67,['갈슘'],중립,중립
다이소에 많네,67,['다이소'],중립,중립
너문.싼. 약을. 도 음을.주셔넸요,68,[],중립,중립
오,69,[],중립,중립
근데 모른다는게 문제.,69,"['모르', '문제']",중립,중립
당신이나 많이드셔요,69,"['당신', '드시']",중립,중립
,70,[],중립,중립
👀제품 구매 방법👀 ✅영상 왼쪽 아래 제품 미리보기 클릭 📌원하는 제품 선택,71,"['제품', '구매', '방법', '영상', '왼쪽', '아래', '제품', '클릭', '제품', '선택']",중립,중립
전부다 같이 먹어도 되나요?,71,[],중립,중립
이거 걍 진짜 ㅈㄴ맛있음 특히복숭아 쫀-득해,72,"['이거', '맛있', '복숭아', '쫀득하']",중립,중립
비오틴 묵어보고 싶었는데 탐나네요... 머리털 지쿄 🥹,72,"['비오티', '탐나', '머리털', '지쿄']",중립,중립
,73,[],중립,중립
상큼🍊,74,[],중립,중립
ㅋㅋㅋㅋㅋㅋ저거 포도맛도 갠찮대용,74,"['저거', '포도']",중립,중립
저거 사러 다이소 다시 갈게요 ㅠㅋ,74,"['저거', '다이소']",중립,중립
다이소로 달려ㅓ어엉,74,"['다이소', '달리']",중립,중립
